sl_ticks,tp_ticks,rr,max_holding_bars,direction,nc,trades_per_day,wr_used_mid_bracket,wr_bracket_width,pass_rate_15d,blow_rate,avg_days_to_pass,combines_por_ano,costo_esperado_por_combine
50,20,0.4,130,always_short,50,1,0.7184,0.0089,0.8093,0.1908,3.71,54.99,60.55
50,20,0.4,100,always_short,50,1,0.7184,0.0089,0.8093,0.1908,3.71,54.99,60.55
50,20,0.4,66,always_short,50,1,0.7181,0.0089,0.8091,0.1909,3.71,54.96,60.56
50,20,0.4,45,always_short,50,1,0.7147,0.0089,0.804,0.196,3.72,54.51,60.95
50,20,0.4,100,alternate,50,1,0.713,0.0087,0.8021,0.1979,3.72,54.32,61.09
50,20,0.4,130,alternate,50,1,0.7129,0.0087,0.802,0.198,3.72,54.31,61.1
50,20,0.4,66,alternate,50,1,0.7129,0.0087,0.8016,0.1984,3.72,54.28,61.13
50,20,0.4,45,alternate,50,1,0.7106,0.0087,0.7991,0.2009,3.73,54.03,61.32
50,20,0.4,66,always_long,50,1,0.7076,0.0085,0.7959,0.2041,3.74,53.67,61.57
50,20,0.4,100,always_long,50,1,0.7076,0.0085,0.7959,0.2041,3.74,53.67,61.57
50,20,0.4,130,always_long,50,1,0.7074,0.0085,0.7953,0.2047,3.74,53.63,61.62
50,20,0.4,45,always_long,50,1,0.7065,0.0085,0.7945,0.2055,3.74,53.56,61.67
50,20,0.4,30,always_short,50,1,0.7059,0.0089,0.7939,0.2061,3.74,53.51,61.72
50,20,0.4,30,alternate,50,1,0.7029,0.0087,0.7884,0.2116,3.75,53.04,62.15
50,20,0.4,30,always_long,50,1,0.6999,0.0084,0.7835,0.2165,3.75,52.67,62.54
50,10,0.2,100,always_short,50,2,0.8333,0.0143,0.778,0.222,3.76,52.2,62.98
50,10,0.2,130,always_short,50,2,0.8333,0.0143,0.778,0.222,3.76,52.2,62.98
50,10,0.2,66,always_short,50,2,0.8332,0.0143,0.7779,0.2221,3.76,52.18,62.99
50,10,0.2,45,always_short,50,2,0.8322,0.0143,0.7748,0.2253,3.76,51.97,63.25
50,10,0.2,66,alternate,50,2,0.8292,0.0154,0.768,0.232,3.77,51.37,63.8
50,10,0.2,100,alternate,50,2,0.8292,0.0155,0.768,0.232,3.77,51.37,63.8
50,10,0.2,130,alternate,50,2,0.8292,0.0155,0.768,0.232,3.77,51.37,63.8
50,10,0.2,45,alternate,50,2,0.8286,0.0154,0.7669,0.2331,3.77,51.24,63.9
50,10,0.2,30,always_short,50,2,0.828,0.0143,0.765,0.235,3.77,51.09,64.05
50,10,0.2,30,alternate,50,2,0.8257,0.0154,0.7585,0.2415,3.78,50.51,64.6
50,10,0.2,100,always_long,50,2,0.8251,0.0166,0.7576,0.2424,3.79,50.44,64.68
50,10,0.2,66,always_long,50,2,0.8251,0.0166,0.7576,0.2424,3.79,50.44,64.68
50,10,0.2,45,always_long,50,2,0.825,0.0166,0.7575,0.2425,3.79,50.43,64.69
50,10,0.2,130,always_long,50,2,0.8251,0.0166,0.7575,0.2425,3.79,50.43,64.69
50,25,0.5,100,always_short,50,1,0.6726,0.0075,0.7764,0.2236,3.9,50.22,63.11
50,25,0.5,130,always_short,50,1,0.6726,0.0075,0.7764,0.2236,3.9,50.22,63.11
50,25,0.5,66,always_short,50,1,0.672,0.0075,0.7756,0.2244,3.9,50.15,63.17
50,10,0.2,30,always_long,50,2,0.8235,0.0165,0.7538,0.2462,3.79,50.13,65.01
50,25,0.5,45,always_short,50,1,0.6672,0.0075,0.7686,0.2314,3.91,49.55,63.75
50,25,0.5,100,alternate,50,1,0.6652,0.0071,0.7655,0.2345,3.91,49.28,64.01
50,25,0.5,130,alternate,50,1,0.6652,0.0071,0.7655,0.2345,3.91,49.27,64.01
50,25,0.5,100,always_short,40,1,0.6726,0.0075,0.7429,0.2571,3.8,49.26,65.96
50,25,0.5,130,always_short,40,1,0.6726,0.0075,0.7429,0.2571,3.8,49.26,65.96
50,25,0.5,66,alternate,50,1,0.6649,0.0071,0.7652,0.2347,3.92,49.25,64.03
50,25,0.5,66,always_short,40,1,0.672,0.0075,0.7418,0.2582,3.8,49.17,66.06
40,20,0.5,130,always_short,50,1,0.6709,0.0141,0.74,0.26,3.8,49.04,66.22
40,20,0.5,100,always_short,50,1,0.6708,0.0141,0.74,0.26,3.8,49.04,66.22
40,20,0.5,66,always_short,50,1,0.6708,0.0141,0.7396,0.2604,3.8,49.01,66.25
50,25,0.5,45,alternate,50,1,0.6613,0.0071,0.7606,0.2394,3.92,48.9,64.42
40,20,0.5,45,always_short,50,1,0.6692,0.0141,0.7375,0.2625,3.81,48.83,66.44
50,25,0.5,45,always_short,40,1,0.6672,0.0075,0.7336,0.2664,3.81,48.53,66.79
50,25,0.5,100,always_long,50,1,0.6579,0.0068,0.7556,0.2444,3.93,48.48,64.85
50,25,0.5,66,always_long,50,1,0.6578,0.0068,0.7555,0.2445,3.93,48.47,64.86
50,25,0.5,130,always_long,50,1,0.6577,0.0068,0.7554,0.2446,3.93,48.47,64.87
40,20,0.5,130,alternate,50,1,0.6653,0.0139,0.7298,0.2702,3.81,48.24,67.15
40,20,0.5,100,alternate,50,1,0.6653,0.0139,0.7298,0.2702,3.81,48.24,67.15
40,20,0.5,66,alternate,50,1,0.6653,0.0139,0.7298,0.2702,3.81,48.24,67.15
50,25,0.5,100,alternate,40,1,0.6652,0.0071,0.7296,0.2704,3.81,48.23,67.16
50,25,0.5,130,alternate,40,1,0.6652,0.0071,0.7296,0.2704,3.81,48.23,67.16
50,25,0.5,66,alternate,40,1,0.6649,0.0071,0.7292,0.2707,3.81,48.2,67.19
50,25,0.5,45,always_long,50,1,0.6554,0.0068,0.7524,0.2476,3.93,48.19,65.13
40,20,0.5,45,alternate,50,1,0.6642,0.0139,0.7281,0.2719,3.81,48.13,67.3
50,25,0.5,30,always_short,50,1,0.6549,0.0075,0.7515,0.2485,3.94,48.1,65.2
40,20,0.5,30,always_short,50,1,0.6638,0.0141,0.7275,0.2725,3.81,48.09,67.35
50,25,0.5,45,alternate,40,1,0.6613,0.0071,0.7244,0.2756,3.82,47.84,67.64
40,20,0.5,100,always_long,50,1,0.6597,0.0137,0.7229,0.2771,3.82,47.7,67.78
40,20,0.5,66,always_long,50,1,0.6598,0.0137,0.7229,0.2771,3.82,47.7,67.78
40,20,0.5,130,always_long,50,1,0.6597,0.0137,0.7228,0.2772,3.82,47.69,67.8
40,20,0.5,30,alternate,50,1,0.6595,0.0137,0.7221,0.2779,3.82,47.64,67.86
40,20,0.5,45,always_long,50,1,0.6593,0.0137,0.722,0.278,3.82,47.62,67.87
50,25,0.5,100,always_long,40,1,0.6579,0.0068,0.72,0.28,3.82,47.44,68.06
50,25,0.5,66,always_long,40,1,0.6578,0.0068,0.7199,0.2801,3.82,47.43,68.07
50,25,0.5,30,alternate,50,1,0.6495,0.0071,0.7441,0.2559,3.95,47.43,65.85
50,25,0.5,130,always_long,40,1,0.6577,0.0068,0.7198,0.2802,3.82,47.42,68.08
