producto,familia,sl_ticks,tp_ticks,rr,nc,wr_alternate,wr_bracket_width,pass_rate,blow_rate,avg_days,combines_ano
ZC (Corn),Agricola,9,3,0.333,5,0.7371,0.0018,0.0,0.2689,,0.0
ZC (Corn),Agricola,15,6,0.4,5,0.673,0.0009,0.4104,0.5896,11.16,9.27
ZC (Corn),Agricola,25,12,0.48,5,0.5652,0.0012,0.3675,0.6325,6.56,14.12
ZN (10Y Note),Tasas,8,3,0.375,5,0.7339,0.0015,0.0622,0.2687,14.8,1.06
ZN (10Y Note),Tasas,13,5,0.385,5,0.6924,0.0003,0.4211,0.5789,9.7,10.94
ZN (10Y Note),Tasas,20,10,0.5,5,0.5651,0.0,0.4487,0.5513,5.26,21.51
GC/MGC (Gold),Metales,136,45,0.331,30,0.7009,0.0045,0.785,0.215,3.75,52.79
GC/MGC (Gold),Metales,227,91,0.401,30,0.6447,0.0014,0.8107,0.1893,4.15,49.24
GC/MGC (Gold),Metales,364,182,0.5,30,0.5677,0.0001,0.8023,0.1978,4.76,42.44
6E/M6E (Euro FX),FX mayor,13,4,0.308,50,0.763,0.0033,0.0168,0.4505,15.0,0.28
6E/M6E (Euro FX),FX mayor,21,8,0.381,50,0.6932,0.0014,0.4834,0.5166,8.54,14.27
6E/M6E (Euro FX),FX mayor,34,17,0.5,50,0.5772,0.0001,0.5856,0.4144,3.96,37.22
RTY/M2K (Russell),Equity index (control),120,40,0.333,50,0.7435,0.0022,0.7817,0.2182,4.84,40.67
RTY/M2K (Russell),Equity index (control),200,80,0.4,50,0.6862,0.0002,0.7951,0.2049,3.86,51.88
RTY/M2K (Russell),Equity index (control),320,160,0.5,50,0.5514,0.0001,0.7491,0.2509,4.69,40.23
CL/MCL (Crude),Energia,56,18,0.321,30,0.7289,0.0048,0.5741,0.4259,8.41,17.21
CL/MCL (Crude),Energia,94,38,0.404,30,0.663,0.0013,0.7262,0.2737,3.81,48.0
CL/MCL (Crude),Energia,150,75,0.5,30,0.5283,0.0001,0.6324,0.3676,4.46,35.77
