c,sl,tp,rr,nc,sl_usd,tp_net,n,tp_n,sl_n,flat_n,flat_share,ambig_share,wr_cond,ev,ev_slip1,combine_pass,p10,p25,p50,p75,p90,xfa_p_ge1,xfa_days,p50_slip1,p50_optimistic
0.05,24,24,1.0,91,2358.72,2009.28,515,247,268,0,0.0,0.09902912621359224,0.4796116504854369,-263.77631067959413,-402.13165048541936,0.24134,-2294.7839999999774,-501.33599999982334,1691.2799999998824,4338.157500000092,7548.638399999926,0.80812,12.0444,408.6180000000423,16334.756999999434
0.05,24,16,0.67,91,2358.72,1281.28,515,268,247,0,0.0,0.16116504854368932,0.5203883495145631,-464.50640776692035,-599.151067961095,0.1205,-3546.7199999995814,-2462.3999999994357,-1244.8799999992189,-73.29599999908623,1086.5520000007803,0.81732,10.56402,-1626.4799999997417,10939.644000002329
0.05,24,10,0.43,91,2358.72,735.28,515,282,233,0,0.0,0.2174757281553398,0.5475728155339806,-664.5297087378154,-796.7005825242234,0.02998,-2212.9199999998277,-1513.0799999997416,-658.7999999998768,0.0,82.24200000010862,0.84092,9.84994,0.0,4156.385625000121
0.05,24,8,0.33,91,2358.72,553.28,515,283,232,0,0.0,0.24854368932038834,0.5495145631067961,-758.5335922328699,-890.5277669901515,0.00638,-989.2799999998034,0.0,0.0,0.0,0.0,0.82122,9.50258,0.0,2009.2050000026825
0.075,36,36,1.0,61,2313.12,2078.88,515,267,248,0,0.0,0.05048543689320388,0.5184466019417475,-36.10252427184927,-126.47728155340268,0.30874,4997.462399999948,8426.430000000382,13273.955999999678,19903.446000000597,27978.70860000068,0.65466,11.09402,10238.132250000022,27578.403000000384
0.075,36,24,0.67,61,2313.12,1346.88,515,291,224,0,0.0,0.06407766990291262,0.5650485436893203,-245.04233009713357,-332.57436893208506,0.24422,-1332.7200000005812,552.068999999293,2916.107999998967,6077.132999999221,9595.049399999554,0.74942,10.43974,1612.0799999990204,11147.557499998318
0.075,36,15,0.43,61,2313.12,797.88,515,325,190,0,0.0,0.11262135922330097,0.6310679611650486,-349.86757281556027,-433.3724271844923,0.13454,-2641.14000000033,-1669.1400000002018,-475.199999999974,777.1679999999906,2245.19849999978,0.80704,9.3349,-588.5549999999565,6830.736749999913
0.075,36,12,0.33,61,2313.12,614.88,515,330,185,0,0.0,0.13203883495145632,0.6407766990291263,-436.9258252428159,-519.8384466020393,0.07794,-2566.0800000005656,-1710.7200000003563,-855.3600000001475,0.0,680.3999999998772,0.82362,8.70394,-390.9600000002705,2911.146749997859
0.1,48,48,1.0,46,2296.32,2119.68,515,258,257,0,0.0,0.03495145631067961,0.5009708737864078,-84.03262135922317,-152.9879611650484,0.27456,5495.040000000247,8906.328000000254,14132.736000000428,20661.696000000877,28719.18720000066,0.46476,9.06868,11973.375000000533,22607.136000000566
0.1,48,32,0.67,46,2296.32,1383.68,515,301,214,0,0.0,0.04466019417475728,0.5844660194174758,-145.48504854377296,-210.59961165056905,0.29138,2003.2703999980795,4557.8159999989675,8331.263999997711,13318.217999997156,19168.38179999667,0.63796,9.48394,6379.262999998041,16828.19999999687
0.1,48,21,0.43,46,2296.32,877.6800000000001,515,329,186,0,0.0,0.06601941747572816,0.6388349514563106,-268.65786407768456,-331.2714563106943,0.19172,-1940.549400000257,-633.2040000000148,1139.8724999997467,3486.3614999998185,6356.333250000186,0.73236,8.87362,736.271999999992,6773.058000000106
0.1,48,16,0.33,46,2296.32,647.6800000000001,515,346,169,0,0.0,0.07961165048543689,0.6718446601941748,-318.40932038836115,-379.5044660194291,0.14534,-2488.320000000045,-1468.7999999997696,-236.16000000006505,1111.6800000000962,2732.1407999999997,0.76836,8.2945,-336.9600000000122,3250.368000000023
0.125,60,60,1.0,36,2229.12,2090.88,515,267,247,1,0.001941747572815534,0.017475728155339806,0.519455252918288,14.553786407767038,-38.782135922330035,0.40062,12936.931200000003,19035.288000000004,27127.494000000002,37389.95999999999,48468.160800000005,0.48704,10.1875,20346.497999999992,33913.098
0.125,60,40,0.67,36,2229.12,1370.88,515,310,205,0,0.0,0.027184466019417475,0.6019417475728155,-62.12970873786393,-112.45980582524258,0.42976,7804.463400000002,12126.699000000006,18184.824000000004,25568.325000000004,33323.83920000001,0.60176,10.00958,13125.726000000002,26492.238000000005
0.125,60,26,0.43,36,2229.12,866.88,515,337,178,0,0.0,0.03495145631067961,0.654368932038835,-203.19378640775213,-251.6365048543541,0.2849,306.5040000001739,1931.323500000305,4396.126500000228,7741.548000000374,11621.610000000503,0.65036,8.64844,3097.19700000014,8438.148000000507
0.125,60,20,0.33,36,2229.12,650.88,515,359,156,0,0.0,0.05048543689320388,0.6970873786407767,-221.50834951456306,-268.4132038834951,0.24802,-1354.32,30.67200000000048,1951.236000000001,4473.063000000001,7520.4504000000015,0.7406,8.8433,901.7122500000012,6560.1900000000005
0.15,72,72,1.0,30,2217.6,2102.4,515,267,247,1,0.001941747572815534,0.009708737864077669,0.519455252918288,26.108737864075458,-18.337864077672116,0.39966,14411.51999999961,20936.159999999683,29817.359999999317,40687.33499999922,52547.75999999931,0.38874,9.34524,20581.13249999953,33749.99999999945
0.15,72,48,0.67,30,2217.6,1382.4,515,306,209,0,0.0,0.017475728155339806,0.5941747572815534,-78.57087378635318,-120.74563106790659,0.41208,9797.760000001157,14197.680000001747,20725.470000002297,28399.815000003047,36206.27100000293,0.53256,9.85146,14074.087500001353,25730.460000001985
0.15,72,31,0.43,30,2217.6,872.4,515,346,169,0,0.0,0.027184466019417475,0.6718446601941748,-141.59999999996865,-181.44466019414338,0.3347,2647.890000000869,4808.430000000363,8627.175000000447,13297.371328125853,18239.870250001073,0.64326,9.24292,6732.180000000915,13395.881250001234
0.15,72,24,0.33,30,2217.6,662.4,515,355,160,0,0.0,0.036893203883495145,0.6893203883495146,-232.35728155339407,-271.6776699029087,0.23106,-278.6400000002019,984.9599999998651,2967.8400000000124,5809.319999999783,8796.59999999985,0.6442,8.71648,1790.9099999998652,6556.139999999881
0.175,83,83,1.0,26,2207.92,2108.08,515,263,249,3,0.005825242718446602,0.007766990291262136,0.513671875,6.926601941748835,-31.79572815533854,0.38924,13030.079400000306,19095.705000000384,27507.235500000428,38230.182000000525,49727.306700001005,0.3776,9.08992,18986.184000000234,30541.968000000466
0.175,83,56,0.67,26,2207.92,1406.08,515,301,213,1,0.001941747572815534,0.013592233009708738,0.585603112840467,-91.62097087379561,-128.42485436894123,0.39188,8547.692399999929,13125.060000000118,19174.547250000054,26619.06121875024,34283.850750000354,0.51202,9.63562,13681.980000000185,22766.301000000334
0.175,83,36,0.43,26,2207.92,886.08,515,350,165,0,0.0,0.017475728155339806,0.6796116504854369,-105.20155339806173,-139.53165048544037,0.38078,4010.292000000116,7007.364000000438,11150.55337500008,16664.152781250075,22354.561125000248,0.65972,9.90118,8412.065999999977,14758.672499999975
0.175,83,27,0.33,26,2207.92,652.08,515,365,150,0,0.0,0.021359223300970873,0.7087378640776699,-180.92970873791145,-214.50252427189199,0.28136,380.9519999993187,1943.3699999990417,4568.849999999202,7656.3629999991645,11152.48241249803,0.68768,9.26294,2817.3599999997873,6783.7769999983875
0.2,95,95,1.0,23,2229.16,2140.84,515,262,245,8,0.015533980582524271,0.007766990291262136,0.5167652859960552,28.368155339806002,-5.930873786407588,0.39782,14057.597700000006,20463.50925,29479.01400000001,40750.81874999997,52933.35465,0.3867,9.34184,20702.68649999999,32773.42125000003
0.2,95,64,0.67,23,2229.16,1427.84,515,307,206,2,0.003883495145631068,0.011650485436893204,0.5984405458089669,-41.03378640777629,-73.3231067961258,0.42196,11279.474099999668,16381.358999999502,23304.88799999962,31703.657624999218,40460.00122265577,0.5401,10.20228,17031.649499999614,26836.716374999436
0.2,95,41,0.43,23,2229.16,898.84,515,348,167,0,0.0,0.015533980582524271,0.6757281553398058,-115.48233009707683,-145.9405825242613,0.37074,3178.899000000306,6592.380750000435,10754.78850000047,16239.667500000238,21855.732750000436,0.65192,9.758,8163.45900000027,13763.33296875075
0.2,95,31,0.33,23,2229.16,668.84,515,374,141,0,0.0,0.015533980582524271,0.7262135922330097,-124.59300970872636,-153.89009708736714,0.34048,1505.7180000001397,3763.0530000001836,6898.119750000249,10911.073500000166,15271.848056250714,0.72432,9.89594,5061.09825000051,9030.16800000026
0.25,119,119,1.0,18,2176.56,2107.44,515,264,232,19,0.036893203883495145,0.0,0.532258064516129,100.63223300971072,73.85941747573013,0.51784,23463.62280000002,31363.40249999969,42487.74900000008,55575.53550000036,69975.74114999984,0.51236,11.99852,34645.43699999976,42310.25549999995
0.25,119,80,0.67,18,2176.56,1405.44,515,312,199,4,0.007766990291262136,0.001941747572815534,0.6105675146771037,4.480776699034721,-20.614368932033223,0.46792,13719.07980000044,19551.8745000002,27223.67700000014,36396.22106250024,46237.36095000022,0.5811,10.89836,24773.93100000004,27498.85762500026
0.25,119,51,0.43,18,2176.56,883.44,515,356,159,0,0.0,0.005825242718446602,0.6912621359223301,-61.29786407765612,-84.85514563105416,0.41636,5214.456000000352,8771.383687500622,13863.960000000838,20047.864500000753,26568.300206250737,0.68512,10.41216,11463.120000000177,15060.400875000654
0.25,119,39,0.33,18,2176.56,667.44,515,378,137,0,0.0,0.007766990291262136,0.7339805825242719,-89.11922330097536,-111.90757281553847,0.36676,2154.275999999982,4668.0299999997715,8275.526999999784,12568.121999999534,17255.54238749963,0.74082,10.27026,7277.525999999951,9201.498749999722
0.3,143,143,1.0,15,2173.8,2116.2,515,260,218,37,0.07184466019417475,0.001941747572815534,0.5439330543933054,162.3844660194199,139.95728155340052,0.55436,28877.208750000336,38457.64125000032,50677.509375000416,66033.16875000029,82365.43725000048,0.54478,13.22038,42519.9656250005,51962.062500000495
0.3,143,96,0.67,15,2173.8,1411.2,515,308,191,16,0.031067961165048542,0.001941747572815534,0.6172344689378757,26.94757281553022,5.918446601937972,0.48188,14579.581499999822,20847.830625000075,29012.72484375017,38527.831406250196,48460.56918750024,0.59296,11.23334,26811.067500000092,29367.961875000106
0.3,143,61,0.43,15,2173.8,886.2,515,355,154,6,0.011650485436893204,0.003883495145631068,0.6974459724950884,-48.34368932038905,-68.00388349514634,0.42128,5586.570000000064,9179.190000000171,14476.748203125248,20850.689882812592,27809.20096875037,0.6917,10.65438,12494.45250000004,15092.160468750077
