product,entry_open,sl,tp,rr,nc,R,sl_over_R,sl_usd,tp_net_usd,n,tp_n,sl_n,flat_n,wr_cond,flat_share,ev_trade,wr_h1,wr_h2,combine_pass,p10,p25,p50,p75,p90,mean,p_ge1_payout_1y,xfa_p_ge1_payout,xfa_avg_days,xfa_mean_payout,skipped
MGC,420,238,238,1.0,9,476.9999999999982,0.4989517819706518,2159.28,2124.72,515.0,199.0,187.0,129.0,0.5155440414507773,0.2504854368932039,30.70834951456314,0.5422535211267606,0.5,0.46976,14771.378700000098,21065.43825000021,29840.953500000192,40491.65362500026,51218.015625000146,31875.472836107398,1.0,0.48212,11.47446,2266.210209424231,
MGC,420,238,159,0.67,9,476.9999999999982,0.4989517819706518,2159.28,1413.72,515.0,272.0,160.0,83.0,0.6296296296296297,0.16116504854368932,42.20737864076764,0.6703910614525139,0.6007905138339921,0.49434,14144.677649999676,20145.97068749965,28216.150664062006,37967.45906249951,47577.24449999938,29909.08054536458,1.0,0.60682,12.08126,2331.79331647993,
MGC,420,238,102,0.43,9,476.9999999999982,0.4989517819706518,2159.28,900.72,515.0,338.0,131.0,46.0,0.720682302771855,0.08932038834951456,-10.866407767005114,0.7476635514018691,0.6980392156862745,0.47722,7514.985599999523,11627.975249999336,17268.648187499348,24042.079546874036,31391.03058749879,18557.72582383268,1.0,0.71092,11.55946,1667.1109078357988,
MGC,420,238,79,0.33,9,476.9999999999982,0.4989517819706518,2159.28,693.72,515.0,367.0,117.0,31.0,0.7582644628099173,0.06019417475728155,-47.84504854369808,0.7807017543859649,0.73828125,0.45576,3466.8242999998597,6513.574499999799,10799.446499999654,16087.082835937043,21507.951262499697,11835.948637895786,1.0,0.77578,11.14052,1230.6040533849327,
MGC,420,238,60,0.25,9,476.9999999999982,0.4989517819706518,2159.28,522.72,515.0,390.0,101.0,24.0,0.7942973523421588,0.04660194174757282,-67.95961165048857,0.8076923076923077,0.7821011673151751,0.39714,520.635599999964,2723.280749999908,5794.760249999952,9740.150015624933,13992.676593749942,6676.917301298641,0.99995,0.82482,10.56392,885.9499391102714,
MGC,420,238,43,0.18,9,476.9999999999982,0.4989517819706518,2159.28,369.72,515.0,418.0,83.0,14.0,0.8343313373253493,0.027184466019417475,-73.69165048542611,0.8442622950819673,0.8249027237354085,0.35322,-699.029999999852,910.5412500002867,3212.399250000358,6073.729945313012,9239.398143750555,3831.7751230337144,0.99985,0.88864,10.79498,675.7388799580398,
MGC,420,358,358,1.0,6,476.9999999999982,0.7505241090146779,2159.52,2136.48,515.0,124.0,133.0,258.0,0.48249027237354086,0.5009708737864078,-38.8869902912623,0.4375,0.49740932642487046,0.4099,6920.607599999993,11188.854000000054,17017.64100000003,24383.39400000004,32616.917100000075,18711.586121236596,0.99985,0.4964,11.67988,1649.015558702409,
MGC,420,358,240,0.67,6,476.9999999999982,0.7505241090146779,2159.52,1428.48,515.0,217.0,113.0,185.0,0.6575757575757576,0.3592233009708738,43.43533980582292,0.7,0.6363636363636364,0.50606,11341.619999999897,16588.4624999999,23938.7129999999,32760.066937499952,41870.98392187483,25525.31597467644,0.99995,0.63948,13.77864,2282.275532165948,
MGC,420,358,154,0.43,6,476.9999999999982,0.7505241090146779,2159.52,912.48,515.0,304.0,88.0,123.0,0.7755102040816326,0.23883495145631067,72.21203883494606,0.8181818181818182,0.7478991596638656,0.58194,11149.825499999808,16277.21324999974,23414.953499999563,31732.708499999535,40270.63685624926,24810.67340559467,1.0,0.78728,14.80794,2381.7173492409756,
MGC,420,358,118,0.33,6,476.9999999999982,0.7505241090146779,2159.52,696.48,515.0,350.0,78.0,87.0,0.8177570093457944,0.16893203883495145,49.16737864078273,0.8547486033519553,0.7911646586345381,0.58766,7525.639800000305,11753.28900000041,17545.82850000049,24468.568593750664,31527.57836250067,18732.109298230025,1.0,0.84408,14.0717,1927.613504535725,
MGC,420,358,90,0.25,6,476.9999999999982,0.7505241090146779,2159.52,528.48,515.0,379.0,68.0,68.0,0.8478747203579419,0.13203883495145632,13.31883495145496,0.8781725888324873,0.824,0.53906,2961.824399999971,6001.232624999993,10120.977000000014,15162.092999999992,20420.78689687496,11078.255782659271,1.0,0.87666,12.93074,1357.485723574154,
MGC,420,358,64,0.18,6,476.9999999999982,0.7505241090146779,2159.52,372.48,515.0,410.0,56.0,49.0,0.8798283261802575,0.09514563106796116,-13.151067961170398,0.8930232558139535,0.8685258964143426,0.49839,485.7839999998645,2608.9289999998155,5480.473499999728,9061.304624999837,12935.84984999968,6210.565440309723,1.0,0.9205,12.337,949.2138948379211,
MGC,420,364,364,1.0,6,476.9999999999982,0.7631027253668792,2195.52,2172.48,515.0,120.0,133.0,262.0,0.4743083003952569,0.5087378640776699,-54.02097087378637,0.42857142857142855,0.48947368421052634,0.39823,6174.338399999968,10263.442499999985,16043.489999999962,23113.41524999998,30910.47839999994,17584.403643400714,0.99995,0.48432,11.408,1561.923524604369,
MGC,420,364,244,0.67,6,476.9999999999982,0.7631027253668792,2195.52,1452.48,515.0,207.0,115.0,193.0,0.6428571428571429,0.37475728155339805,14.355728155338452,0.6857142857142857,0.6221198156682027,0.47744,9548.636399999923,14375.103749999973,20964.075749999916,29166.29943749986,37501.13536874961,22531.287133020796,1.0,0.61594,13.05132,2018.6960527077833,
MGC,420,364,157,0.43,6,476.9999999999982,0.7631027253668792,2195.52,930.48,515.0,299.0,90.0,126.0,0.7686375321336761,0.2446601941747573,59.80427184465559,0.8157894736842105,0.7383966244725738,0.56205,10202.228099999842,15237.409499999729,22034.220749999586,30347.225648437,38807.107087499266,23591.7608877447,1.0,0.77302,14.39364,2260.7461615504667,
MGC,420,364,120,0.33,6,476.9999999999982,0.7631027253668792,2195.52,708.48,515.0,347.0,79.0,89.0,0.8145539906103286,0.17281553398058253,43.2256310679628,0.8539325842696629,0.7862903225806451,0.57272,7099.8390000000345,11227.025250000042,16945.3468125001,23902.92703125006,30964.498256250015,18239.43452137553,1.0,0.83548,13.85626,1888.1312787538711,
MGC,420,364,91,0.25,6,476.9999999999982,0.7631027253668792,2195.52,534.48,515.0,379.0,68.0,68.0,0.8478747203579419,0.13203883495145632,12.980970873791668,0.8781725888324873,0.824,0.54766,3309.1335000002787,6480.438750000209,10723.232250000197,15832.705605469233,21253.121286328667,11660.25449754358,1.0,0.87508,12.9291,1375.8703579305425,
MGC,420,364,66,0.18,6,476.9999999999982,0.7631027253668792,2195.52,384.48,515.0,409.0,56.0,50.0,0.8795698924731182,0.0970873786407767,-10.098640776693962,0.8925233644859814,0.8685258964143426,0.50838,781.5528000001486,3014.0133750002674,6060.983203125343,9806.7054375003,13868.363995312871,6806.918892391929,1.0,0.91778,12.45026,1003.6700669519792,
MGC,420,477,477,1.0,5,476.9999999999982,1.0000000000000038,2394.6,2375.4,515.0,80.0,90.0,345.0,0.47058823529411764,0.6699029126213593,-29.648543689320206,0.4857142857142857,0.4666666666666667,0.39886,5517.819000000007,9552.39749999996,15282.866249999965,22487.113124999887,30468.117656249942,16937.641984719692,0.99955,0.51624,12.37888,1647.1121642490195,
MGC,420,477,320,0.67,5,476.9999999999982,1.0000000000000038,2394.6,1590.4,515.0,156.0,78.0,281.0,0.6666666666666666,0.545631067961165,27.535922330098042,0.6842105263157895,0.6610169491525424,0.47571,8449.091999999997,13216.092187499977,19704.34125000002,27634.366054687547,36097.86810937499,21274.705586319782,0.99995,0.62224,14.12996,2074.4967063390395,
MGC,420,477,205,0.43,5,476.9999999999982,1.0000000000000038,2394.6,1015.4,515.0,260.0,64.0,191.0,0.8024691358024691,0.37087378640776697,84.82718446602028,0.8584070796460177,0.7725118483412322,0.58282,12165.55200000003,17710.065000000057,25105.07671875001,34006.82203125002,42798.41268750002,26580.538684718696,1.0,0.76984,16.27858,2660.916967301651,
MGC,420,477,157,0.33,5,476.9999999999982,1.0000000000000038,2394.6,775.4,515.0,307.0,58.0,150.0,0.8410958904109589,0.2912621359223301,68.35145631067512,0.8928571428571429,0.8088888888888889,0.59082,9285.434999999736,13960.130624999703,20295.402187499676,27960.91716796828,35695.463765624394,21603.376057443507,1.0,0.82156,15.60804,2283.33162438657,
MGC,420,477,119,0.25,5,476.9999999999982,1.0000000000000038,2394.6,585.4,515.0,358.0,50.0,107.0,0.8774509803921569,0.20776699029126214,54.264077669900374,0.9112426035502958,0.8535564853556485,0.59999,6395.8432499998935,10370.127656249806,15630.329355468592,21781.17650390599,28461.514921874652,16681.27383682322,1.0,0.87402,14.90976,1918.6619566092777,
MGC,420,477,86,0.18,5,476.9999999999982,1.0000000000000038,2394.6,420.4,515.0,396.0,40.0,79.0,0.908256880733945,0.1533980582524272,30.380582524276207,0.93717277486911,0.8857142857142857,0.59201,2982.3187500001413,5879.086875000101,9885.847500000165,14654.353535156497,19700.387437500394,10735.837454380924,1.0,0.91874,14.26948,1450.2618674808068,
MGC,420,715,715,1.0,3,476.9999999999982,1.4989517819706557,2150.76,2139.24,515.0,34.0,45.0,436.0,0.43037974683544306,0.8466019417475729,-40.064854368932174,0.5,0.4266666666666667,0.41905,780.7266000000163,2971.788749999999,6379.873874999999,10996.312781249973,16184.675390624998,7657.967747561351,0.99925,0.70398,15.63332,1109.606909515444,
MGC,420,715,479,0.67,3,476.9999999999982,1.4989517819706557,2150.76,1431.24,515.0,79.0,45.0,391.0,0.6370967741935484,0.7592233009708738,-34.79883495145744,0.8947368421052632,0.5904761904761905,0.44222,1121.2019999999682,3332.4108749999714,6688.203749999999,11244.903046874937,16338.14313749993,7901.0991136437015,0.99955,0.72312,15.82474,1122.3649634510227,
MGC,420,715,307,0.43,3,476.9999999999982,1.4989517819706557,2150.76,915.24,515.0,165.0,37.0,313.0,0.8168316831683168,0.6077669902912621,2.0982524271824587,0.9555555555555556,0.7770700636942676,0.54107,2069.7983999999287,4702.259249999898,8588.76412499991,13417.88456249987,18678.585318749832,9634.677995095593,1.0,0.81386,17.03508,1325.752215549071,
MGC,420,715,236,0.33,3,476.9999999999982,1.4989517819706557,2150.76,702.24,515.0,232.0,33.0,250.0,0.8754716981132076,0.4854368932038835,32.873009708739374,0.975609756097561,0.8306010928961749,0.62785,3369.049200000093,6406.992000000032,10782.645750000103,16095.526664062645,21480.46323750021,11797.112973111763,1.0,0.88142,17.89312,1590.7169347144827,
